Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
AAPL,Apple Inc. Common Stock,"2,661,080,822,473",$172.28 ,$2.98 ,1.76%
ABNB,"Airbnb, Inc. Class A Common Stock","100,314,435,635",$155.40 ,$0.76 ,-0.49%
ADBE,Adobe Inc. Common Stock,"210,768,320,000",$472.59 ,$3.20 ,0.68%
ADI,"Analog Devices, Inc. Common Stock","96,349,994,464",$194.64 ,$0.75 ,0.39%
ADP,"Automatic Data Processing, Inc. Common Stock","99,021,066,175",$241.24 ,$6.09 ,-2.46%
ADSK,"Autodesk, Inc. Common Stock","44,883,713,492",$209.98 ,$0.73 ,-0.35%
AEP,"American Electric Power Company, Inc. Common Stock","46,186,408,524",$87.70 ,$0.45 ,-0.51%
AMAT,"Applied Materials, Inc. Common Stock","162,830,954,855",$196.41 ,$2.42 ,1.25%
AMD,"Advanced Micro Devices, Inc. Common Stock","233,238,830,498",$144.96 ,$0.69 ,0.48%
AMGN,Amgen Inc. Common Stock,"147,704,608,305",$276.07 ,$1.30 ,-0.47%
AMZN,"Amazon.com, Inc. Common Stock","1,888,529,792,517",$182.39 ,$3.39 ,1.89%
ANSS,"ANSYS, Inc. Common Stock","27,123,450,442",$312.32 ,$9.16 ,-2.85%
ASML,ASML Holding N.V. New York Registry Shares,"340,683,539,300",$867.31 ,$14.47 ,1.70%
AVGO,Broadcom Inc. Common Stock,"570,359,672,860","$1,229.81 ",$13.05 ,-1.05%
AZN,AstraZeneca PLC American Depositary Shares,"235,473,760,442",$76.11 ,$0.30 ,-0.39%
BIIB,Biogen Inc. Common Stock,"31,304,788,394",$215.14 ,$0.99 ,-0.46%
BKNG,Booking Holdings Inc. Common Stock,"116,985,536,065","$3,433.83 ",$18.19 ,0.53%
BKR,Baker Hughes Company Class A Common Stock,"31,736,324,761",$31.90 ,$0.01 ,0.02%
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,"32,967,732,130",$71.84 ,$0.25 ,0.35%
CDNS,"Cadence Design Systems, Inc. Common Stock","74,493,961,160",$274.75 ,$0.20 ,0.07%
